index,debut,pid,src,group,suffix,tag,order
431,2021/07/17,pm294,,Whismur,,,
432,2021/07/17,pm295,,Whismur,,,
433,2018/05/01,pm296,,Makuhita,,,
434,2018/05/01,pm297,,Makuhita,,,
435,2018/12/18,pm298,,Marill,,,0
436,2021/03/09,pm299,,Nosepass,,,
437,2020/05/15,pm300,,Skitty,,,
438,2020/05/15,pm301,,Skitty,,,
439,2017/10/20,pm302,,Sableye,,,
439,2023/06/29,pm302.fMEGA,,Sableye,(Mega),,
440,2017/12/08,pm303,,Mawile,,,
440,2017/12/08,pm303.fMEGA,,Mawile,(Mega),,
441,2018/01/23,pm304,,Aron,,,
442,2018/01/23,pm305,,Aron,,,
443,2018/01/23,pm306,,Aron,,,
443,2022/09/16,pm306.fMEGA,,Aron,(Mega),,
444,2018/05/01,pm307,,Meditite,(Male),Gender=♂,
445,2018/05/01,pm307.g2,,Meditite,(Female),Gender=♀,
446,2018/05/01,pm308,,Meditite,(Male),Gender=♂,
447,2018/05/01,pm308.g2,,Meditite,(Female),Gender=♀,
446,2023/03/08,pm308.fMEGA,,Meditite,(Mega),,
448,2019/09/01,pm309,,Electrike,,,
449,2019/09/01,pm310,,Electrike,,,
449,2021/03/16,pm310.fMEGA,,Electrike,(Mega),,
450,2018/07/14,pm311,,Plusle,,,
451,2018/07/14,pm312,,Minun,,,
452,2020/04/21,pm313,,Volbeat,,,
453,2020/04/21,pm314,,Illumise,,,
454,2018/06/30,pm315,,Roselia,(Male),Gender=♂,1
455,2018/06/30,pm315.g2,,Roselia,(Female),Gender=♀,2
456,2023/02/18,pm316,,Gulpin,(Male),Gender=♂,
457,2023/02/18,pm316.g2,,Gulpin,(Female),Gender=♀,
458,2023/02/18,pm317,,Gulpin,(Male),Gender=♂,
459,2023/02/18,pm317.g2,,Gulpin,(Female),Gender=♀,
460,2019/08/23,pm318,,Carvanha,,,
461,2019/08/23,pm319,,Carvanha,,,
461,2019/08/23,pm319.fMEGA,,Carvanha,(Mega),,
462,2018/04/23,pm320,,Wailmer,,,
463,2018/04/23,pm321,,Wailmer,,,
464,2022/06/04,pm322,,Numel,(Male),Gender=♂,
465,2022/06/04,pm322.g2,,Numel,(Female),Gender=♀,
466,2022/06/04,pm323,,Numel,(Male),Gender=♂,
467,2022/06/04,pm323.g2,,Numel,(Female),Gender=♀,
466,2022/06/04,pm323.fMEGA,,Numel,(Mega),,
468,2023/02/18,pm324,,Torkoal,,,
469,2019/02/04,pm325,,Spoink,,,
470,2019/02/04,pm326,,Spoink,,,
471,2019/11/01,pm327.f00,,Spinda,(Pattern 1),Form,
472,2020/09/01,pm327.f01,,Spinda,(Pattern 2),Form,
473,2019/09/01,pm327.f02,,Spinda,(Pattern 3),Form,
474,2020/11/01,pm327.f03,,Spinda,(Pattern 4),Form,
475,2020/06/01,pm327.f04,,Spinda,(Pattern 5),Form,
476,2020/03/01,pm327.f05,,Spinda,(Pattern 6),Form,
477,2020/01/01,pm327.f06,,Spinda,(Pattern 7),Form,
478,2019/07/01,pm327.f07,,Spinda,(Pattern 8),Form,
479,2021/02/14,pm327.f08,,Spinda,(Pattern 9),Form,
480,2019/10/11,pm328,,Trapinch,,,
481,2019/10/11,pm329,,Trapinch,,,
482,2019/10/11,pm330,,Trapinch,,,
483,2023/02/18,pm331,,Cacnea,,,
484,2023/02/18,pm332,,Cacnea,(Male),Gender=♂,
485,2023/02/18,pm332.g2,,Cacnea,(Female),Gender=♀,
486,2018/02/09,pm333,,Swablu,,,
487,2018/02/09,pm334,,Swablu,,,
487,2021/05/15,pm334.fMEGA,,Swablu,(Mega),,
488,2019/09/26,pm335,,Zangoose,,,
489,2019/09/28,pm336,,Seviper,,,
490,2019/03/19,pm337,,Lunatone,,,
491,2019/03/19,pm338,,Solrock,,,
492,2019/08/23,pm339,,Barboach,,,
493,2019/08/23,pm340,,Barboach,,,
494,2022/05/13,pm341,,Corphish,,,
495,2022/05/13,pm342,,Corphish,,,
496,2020/03/27,pm343,,Baltoy,,,
497,2020/03/27,pm344,,Baltoy,,,
498,2019/06/04,pm345,,Lileep,,,
499,2019/06/04,pm346,,Lileep,,,
500,2019/06/04,pm347,,Anorith,,,
501,2019/06/04,pm348,,Anorith,,,
502,2019/01/19,pm349,,Feebas,,,
503,2019/01/19,pm350,,Feebas,(Male),Gender=♂,
504,2019/01/19,pm350.g2,,Feebas,(Female),Gender=♀,
505,2019/03/30,pm351,,Castform,(Normal),Form,
506,2022/12/01,pm351.fSUNNY,,Castform,(Sunny),Form,
507,2021/03/24,pm351.fRAINY,,Castform,(Rainy),Form,
508,2022/12/01,pm351.fSNOWY,,Castform,(Snowy),Form,
509,2023/02/18,pm352,,Kecleon,,,
510,2017/10/31,pm353,,Shuppet,,,
511,2017/10/31,pm354,,Shuppet,,,
511,2022/10/20,pm354.fMEGA,,Shuppet,(Mega),,
512,2017/10/26,pm355,,Duskull,,,
513,2017/10/26,pm356,,Duskull,,,
514,2023/02/18,pm357,,Tropius,,,
515,2021/07/17,pm358,,Chimecho,,,1
516,2017/12/08,pm359,,Absol,,,
516,2021/10/21,pm359.fMEGA,,Absol,(Mega),,
517,2018/03/22,pm360,,Wobbuffet,,,0
518,2017/12/21,pm361,,Snorunt,,,
519,2017/12/21,pm362,,Snorunt,,,
519,2022/12/15,pm362.fMEGA,,Snorunt,(Mega),,
520,2021/12/16,pm363,,Spheal,,,
521,2021/12/16,pm364,,Spheal,,,
522,2021/12/16,pm365,,Spheal,,,
523,2019/02/23,pm366,,Clamperl,,,
524,2019/02/23,pm367,,Clamperl,,,
525,2019/02/23,pm368,,Clamperl,,,
526,2023/02/18,pm369,,Relicanth,(Male),Gender=♂,
527,2023/02/18,pm369.g2,,Relicanth,(Female),Gender=♀,
528,2018/02/13,pm370,,Luvdisc,,,
529,2019/04/13,pm371,,Bagon,,,
530,2019/04/13,pm372,,Bagon,,,
531,2019/04/13,pm373,,Bagon,,,
531,2023/01/10,pm373.fMEGA,,Bagon,(Mega),,
532,2018/10/21,pm374,,Beldum,,,
533,2018/10/21,pm375,,Beldum,,,
534,2018/10/21,pm376,,Beldum,,,
534,2018/10/21,pm376.fMEGA,,Beldum,(Mega),,
535,2019/11/01,pm377,,Regirock,,,
536,2019/11/01,pm378,,Regice,,,
537,2019/11/01,pm379,,Registeel,,,
538,2019/02/22,pm380,,Latias,,,
538,2022/05/03,pm380.fMEGA,,Latias,(Mega),,
539,2019/04/15,pm381,,Latios,,,
539,2022/05/03,pm381.fMEGA,,Latios,(Mega),,
540,2018/06/07,pm382,,Kyogre,,,
540,2023/02/18,pm382.fMEGA,https://raw.githubusercontent.com/PokeMiners/pogo_assets/refs/heads/master/Images/Pokemon%20-%20256x256/Addressable%20Assets/pm382.fPRIMAL.s.icon.png,Kyogre,(Primal),,
541,2019/01/15,pm383,,Groudon,,,
541,2023/02/18,pm383.fMEGA,https://raw.githubusercontent.com/PokeMiners/pogo_assets/refs/heads/master/Images/Pokemon%20-%20256x256/Addressable%20Assets/pm383.fPRIMAL.s.icon.png,Groudon,(Primal),,
542,2019/07/31,pm384,,Rayquaza,,,
542,2023/08/04,pm384.fMEGA,,Rayquaza,(Mega),,
543,2023/02/18,pm385,,Jirachi,,,
544,2020/08/07,pm386,,Deoxys,(Normal),Form,
545,2022/02/19,pm386.fATTACK,,Deoxys,(Attack),Form,
546,2022/02/22,pm386.fDEFENSE,,Deoxys,(Defense),Form,
547,2022/02/25,pm386.fSPEED,,Deoxys,(Speed),Form,
548,2019/09/14,pm387,,Turtwig,,,
549,2019/09/14,pm388,,Turtwig,,,
550,2019/09/14,pm389,,Turtwig,,,
551,2019/11/15,pm390,,Chimchar,,,
552,2019/11/15,pm391,,Chimchar,,,
553,2019/11/15,pm392,,Chimchar,,,
554,2020/01/18,pm393,,Piplup,,,
555,2020/01/18,pm394,,Piplup,,,
556,2020/01/18,pm395,,Piplup,,,
557,2022/07/17,pm396,,Starly,(Male),Gender=♂,
558,2022/07/17,pm396.g2,,Starly,(Female),Gender=♀,
559,2022/07/17,pm397,,Starly,(Male),Gender=♂,
560,2022/07/17,pm397.g2,,Starly,(Female),Gender=♀,
561,2022/07/17,pm398,,Starly,(Male),Gender=♂,
562,2022/07/17,pm398.g2,,Starly,(Female),Gender=♀,
563,2021/06/25,pm399,,Bidoof,(Male),Gender=♂,
564,2021/06/25,pm399.g2,,Bidoof,(Female),Gender=♀,
565,2021/06/25,pm400,,Bidoof,(Male),Gender=♂,
566,2021/06/25,pm400.g2,,Bidoof,(Female),Gender=♀,
567,2020/10/02,pm401,,Kricketot,(Male),Gender=♂,
568,2020/10/02,pm401.g2,,Kricketot,(Female),Gender=♀,
569,2020/10/02,pm402,,Kricketot,(Male),Gender=♂,
570,2020/10/02,pm402.g2,,Kricketot,(Female),Gender=♀,
571,2018/10/16,pm403,,Shinx,(Male),Gender=♂,
572,2018/10/16,pm403.g2,,Shinx,(Female),Gender=♀,
573,2018/10/16,pm404,,Shinx,(Male),Gender=♂,
574,2018/10/16,pm404.g2,,Shinx,(Female),Gender=♀,
575,2018/10/16,pm405,,Shinx,(Male),Gender=♂,
576,2018/10/16,pm405.g2,,Shinx,(Female),Gender=♀,
577,2018/11/06,pm406,,Roselia,,,0
578,2018/11/14,pm407,,Roselia,(Male),Gender=♂,3
579,2018/11/14,pm407.g2,,Roselia,(Female),Gender=♀,4
580,2021/07/23,pm408,,Cranidos,,,
581,2021/07/23,pm409,,Cranidos,,,
582,2021/07/23,pm410,,Shieldon,,,
583,2021/07/23,pm411,,Shieldon,,,
584,2019/12/05,pm412.fBURMY_PLANT,,Burmy,(Plant Cloak),Form,
585,2019/12/05,pm412.fBURMY_SANDY,,Burmy,(Sandy Cloak),Form,
586,2019/12/05,pm412.fBURMY_TRASH,,Burmy,(Trash Cloak),Form,
587,2019/12/05,pm413.fWORMADAM_PLANT,,Burmy,(Plant Cloak),Form,
588,2019/12/05,pm413.fWORMADAM_SANDY,,Burmy,(Sandy Cloak),Form,
589,2019/12/05,pm413.fWORMADAM_TRASH,,Burmy,(Trash Cloak),Form,
590,2019/12/05,pm414,,Burmy,,,
591,2022/07/22,pm415,,Combee,(Male),Gender=♂,
592,2022/07/22,pm415.g2,,Combee,(Female),Gender=♀,
593,2022/07/22,pm416,,Combee,,,
594,2024/02/17,pm417,,Pachirisu,(Male),Gender=♂,
595,2024/02/17,pm417.g2,,Pachirisu,(Female),Gender=♀,
596,2021/01/12,pm418,,Buizel,(Male),Gender=♂,
597,2021/01/12,pm418.g2,,Buizel,(Female),Gender=♀,
598,2021/01/12,pm419,,Buizel,(Male),Gender=♂,
599,2021/01/12,pm419.g2,,Buizel,(Female),Gender=♀,
600,2022/04/20,pm420,,Cherubi,,,
601,2022/04/20,pm421.fOVERCAST,,Cherubi,(Overcast),Form,
602,2022/04/20,pm421.fSUNNY,,Cherubi,(Sunny),Form,
603,2023/08/27,pm422.fEAST_SEA,,Shellos,(East Sea),Form,
604,2023/08/27,pm422.fWEST_SEA,,Shellos,(West Sea),Form,
605,2023/08/27,pm423.fEAST_SEA,,Shellos,(East Sea),Form,
606,2023/08/27,pm423.fWEST_SEA,,Shellos,(West Sea),Form,
607,2019/05/07,pm424,,Aipom,(Male),Gender=♂,
608,2019/05/07,pm424.g2,,Aipom,(Female),Gender=♀,
609,2018/10/23,pm425,,Drifloon,,,
610,2018/10/23,pm426,,Drifloon,,,
611,2019/04/16,pm427,,Buneary,,,
612,2019/04/16,pm428,,Buneary,,,
612,2021/04/04,pm428.fMEGA,,Buneary,(Mega),,
613,2018/12/01,pm429,,Misdreavus,,,
614,2018/11/14,pm430,,Murkrow,,,
615,2020/05/22,pm431,,Glameow,,,
616,2020/05/22,pm432,,Glameow,,,
617,2020/05/23,pm433,,Chimecho,,,0
618,2020/05/24,pm434,,Stunky,,,
619,2020/05/25,pm435,,Stunky,,,
620,2019/05/21,pm436,,Bronzor,,,
621,2019/05/21,pm437,,Bronzor,,,
622,2019/08/05,pm438,,Sudowoodo,,,0
623,2019/09/26,pm439,,Mr_Mime,,,0
624,2020/02/13,pm440,,Chansey,,,0
625,2020/02/13,pm441,,Chatot,,,
626,2020/10/24,pm442,,Spiritomb,,,
627,2019/12/17,pm443,,Gible,(Male),Gender=♂,
628,2019/12/17,pm443.g2,,Gible,(Female),Gender=♀,
629,2019/12/17,pm444,,Gible,(Male),Gender=♂,
630,2019/12/17,pm444.g2,,Gible,(Female),Gender=♀,
631,2019/12/17,pm445,,Gible,(Male),Gender=♂,
632,2019/12/17,pm445.g2,,Gible,(Female),Gender=♀,
631,2019/12/17,pm445.fMEGA,,Gible,(Mega),,
633,2022/11/09,pm446,,Snorlax,,,0
634,2020/02/06,pm447,,Riolu,,,
635,2020/02/06,pm448,,Riolu,,,
635,2024/07/27,pm448.fMEGA,,Riolu,(Mega),,
636,2020/02/07,pm449,,Hippopotas,(Male),Gender=♂,
637,2020/02/07,pm449.g2,,Hippopotas,(Female),Gender=♀,
638,2020/02/07,pm450,,Hippopotas,(Male),Gender=♂,
639,2020/02/07,pm450.g2,,Hippopotas,(Female),Gender=♀,
640,2020/03/05,pm451,,Skorupi,,,
641,2020/03/05,pm452,,Skorupi,,,
642,2020/03/31,pm453,,Croagunk,(Male),Gender=♂,
643,2020/03/31,pm453.g2,,Croagunk,(Female),Gender=♀,
644,2020/03/31,pm454,,Croagunk,(Male),Gender=♂,
645,2020/03/31,pm454.g2,,Croagunk,(Female),Gender=♀,
646,2022/01/21,pm455,,Carnivine,,,
647,2022/01/21,pm456,,Finneon,(Male),Gender=♂,
648,2022/01/21,pm456.g2,,Finneon,(Female),Gender=♀,
649,2022/01/21,pm457,,Finneon,(Male),Gender=♂,
650,2022/01/21,pm457.g2,,Finneon,(Female),Gender=♀,
651,2023/05/02,pm458,,Mantine,,,0
652,2019/12/24,pm459,,Snover,(Male),Gender=♂,
653,2019/12/24,pm459.g2,,Snover,(Female),Gender=♀,
654,2019/12/24,pm460,,Snover,(Male),Gender=♂,
655,2019/12/24,pm460.g2,,Snover,(Female),Gender=♀,
654,2019/12/24,pm460.fMEGA,,Snover,(Mega),,
656,2019/07/25,pm461,,Sneasel,(Male),Gender=♂,
657,2019/07/25,pm461.g2,,Sneasel,(Female),Gender=♀,
658,2018/11/16,pm462,,Magnemite,,,
659,2020/02/15,pm463,,Lickitung,,,
660,2020/02/22,pm464,,Rhyhorn,(Male),Gender=♂,
661,2020/02/22,pm464.g2,,Rhyhorn,(Female),Gender=♀,
662,2020/07/24,pm465,,Tangela,(Male),Gender=♂,
663,2020/07/24,pm465.g2,,Tangela,(Female),Gender=♀,
664,2018/11/15,pm466,,Electabuzz,,,2
665,2018/03/22,pm467,,Magmar,,,2
666,2018/03/22,pm468,,Togepi,,,
667,2019/09/20,pm469,,Yanma,,,
668,2018/08/11,pm470,,Eevee,,,
669,2018/08/11,pm471,,Eevee,,,
670,2019/09/02,pm472,,Gligar,,,
671,2019/02/16,pm473,,Swinub,(Male),Gender=♂,
672,2019/02/16,pm473.g2,,Swinub,(Female),Gender=♀,
673,2020/09/19,pm474,,Porygon,,,
674,2019/08/03,pm475,,Ralts,,,
674,2019/08/03,pm475.fMEGA,,Ralts,(Mega),,
675,2021/03/09,pm476,,Nosepass,,,
676,2017/10/26,pm477,,Duskull,,,
677,2019/01/31,pm478,,Snorunt,,,
678,2024/02/17,pm479,,Rotom,,Form,
679,,pm479.fHEAT,,Rotom,(Heat),Form,
680,,pm479.fWASH,,Rotom,(Wash),Form,
681,,pm479.fFROST,,Rotom,(Frost),Form,
682,,pm479.fFAN,,Rotom,(Fan),Form,
683,,pm479.fMOW,,Rotom,(Mow),Form,
684,2021/09/14,pm480,,Uxie,,,
685,2021/09/14,pm481,,Mesprit,,,
686,2021/09/14,pm482,,Azelf,,,
687,2021/07/23,pm483,,Dialga,,Form,
688,2024/02/17,pm483.fORIGIN,,Dialga,(Origin),Form,
689,2021/08/06,pm484,,Palkia,,Form,
690,2024/02/17,pm484.fORIGIN,,Palkia,(Origin),Form,
691,2020/01/07,pm485,,Heatran,,,
692,2021/06/17,pm486,,Regigigas,,,
693,2019/09/23,pm487.fALTERED,,Giratina,(Altered),Form,
694,2020/10/09,pm487.fORIGIN,,Giratina,(Origin),Form,
695,2019/05/27,pm488,,Cresselia,,,
696,,pm489,,Phione,,,
697,,pm490,,Manaphy,,,
698,2020/03/06,pm491,,Darkrai,,,
699,2024/02/24,pm492.fLAND,,Shaymin,(Land),Form,
700,2024/02/24,pm492.fSKY,,Shaymin,(Sky),Form,
701,,pm493,,Arceus,(Normal),Form,
702,,pm493.fFIGHTING,,Arceus,(Fighting),Form,
703,,pm493.fFLYING,,Arceus,(Flying),Form,
704,,pm493.fPOISON,,Arceus,(Poison),Form,
705,,pm493.fGROUND,,Arceus,(Ground),Form,
706,,pm493.fROCK,,Arceus,(Rock),Form,
707,,pm493.fBUG,,Arceus,(Bug),Form,
708,,pm493.fGHOST,,Arceus,(Ghost),Form,
709,,pm493.fSTEEL,,Arceus,(Steel),Form,
710,,pm493.fFIRE,,Arceus,(Fire),Form,
711,,pm493.fWATER,,Arceus,(Water),Form,
712,,pm493.fGRASS,,Arceus,(Grass),Form,
713,,pm493.fELECTRIC,,Arceus,(Electric),Form,
714,,pm493.fPSYCHIC,,Arceus,(Psychic),Form,
715,,pm493.fICE,,Arceus,(Ice),Form,
716,,pm493.fDRAGON,,Arceus,(Dragon),Form,
717,,pm493.fDARK,,Arceus,(Dark),Form,
718,,pm493.fFAIRY,,Arceus,(Fairy),Form,
719,,pm494,,Victini,,,
720,2021/01/04,pm495,,Snivy,,,
721,2021/01/04,pm496,,Snivy,,,
722,2021/01/04,pm497,,Snivy,,,
723,2021/07/03,pm498,,Tepig,,,
724,2021/07/03,pm499,,Tepig,,,
725,2021/07/03,pm500,,Tepig,,,
726,2021/09/19,pm501,,Oshawott,,,
727,2021/09/19,pm502,,Oshawott,,,
728,2021/09/19,pm503,,Oshawott,,,
729,2023/12/03,pm503.fHISUIAN,,Oshawott_Hisui,(Hisuian),RegionalForm,
730,2019/09/16,pm504,,Patrat,,,
731,2019/09/16,pm505,,Patrat,,,
732,2019/09/16,pm506,,Lillipup,,,
733,2019/09/16,pm507,,Lillipup,,,
734,2019/09/16,pm508,,Lillipup,,,
735,2022/11/24,pm509,,Purrloin,,,
736,2022/11/24,pm510,,Purrloin,,,
737,2022/08/05,pm511,,Pansage,,,
738,2022/08/05,pm512,,Pansage,,,
739,2022/07/01,pm513,,Pansear,,,
740,2022/07/01,pm514,,Pansear,,,
741,2022/07/22,pm515,,Panpour,,,
742,2022/07/22,pm516,,Panpour,,,
743,2022/08/27,pm517,,Munna,,,
744,2022/08/27,pm518,,Munna,,,
745,2020/07/02,pm519,,Pidove,,,
746,2020/07/02,pm520,,Pidove,,,
747,2020/07/02,pm521,,Pidove,(Male),Gender=♂,
748,2020/07/02,pm521.g2,,Pidove,(Female),Gender=♀,
749,2021/09/28,pm522,,Blitzle,,,
750,2021/09/28,pm523,,Blitzle,,,
751,2020/08/14,pm524,,Roggenrola,,,
752,2020/08/14,pm525,,Roggenrola,,,
753,2020/08/14,pm526,,Roggenrola,,,
754,2020/07/24,pm527,,Woobat,,,
755,2020/07/24,pm528,,Woobat,,,
756,2023/04/20,pm529,,Drilbur,,,
757,2023/04/20,pm530,,Drilbur,,,
758,2021/07/17,pm531,,Audino,,,
758,2021/07/17,pm531.fMEGA,,Audino,(Mega),,
759,2020/03/13,pm532,,Timburr,,,
760,2020/03/13,pm533,,Timburr,,,
761,2020/03/13,pm534,,Timburr,,,
762,2021/07/17,pm535,,Tympole,,,
763,2021/07/17,pm536,,Tympole,,,
764,2021/07/17,pm537,,Tympole,,,
765,2021/07/17,pm538,,Throh,,,
766,2021/07/17,pm539,,Sawk,,,
767,2021/07/18,pm540,,Sewaddle,,,
768,2021/07/19,pm541,,Sewaddle,,,
769,2021/07/20,pm542,,Sewaddle,,,
770,2022/08/10,pm543,,Venipede,,,
771,2022/08/10,pm544,,Venipede,,,
772,2022/08/10,pm545,,Venipede,,,
773,2022/03/22,pm546,,Cottonee,,,
774,2022/03/22,pm547,,Cottonee,,,
775,2023/08/04,pm548,,Petilil,,,
776,2023/08/04,pm549,,Petilil,,,
777,2023/08/04,pm549.fHISUIAN,,Petilil_Hisui,(Hisuian),RegionalForm,
778,2024/02/22,pm550.fRED_STRIPED,,Basculin,(Red-Striped),Form,
779,2024/02/23,pm550.fBLUE_STRIPED,,Basculin,(Blue-Striped),Form,
780,2024/02/24,pm550.fWHITE_STRIPED,,Basculin,(White-Striped),Form,
781,2024/02/25,pm551,,Sandile,,,
782,2024/02/26,pm552,,Sandile,,,
783,2024/02/27,pm553,,Sandile,,,
784,2021/07/06,pm554,,Darumaka,,,
785,2021/07/06,pm555.fSTANDARD,,Darumaka,(Standard Mode),Form,
786,,pm555.fZEN,,Darumaka,(Zen Mode),Form,
787,2021/12/23,pm554.fGALARIAN,,Darumaka_Galar,(Galarian),RegionalForm,
788,2021/12/23,pm555.fGALARIAN,https://raw.githubusercontent.com/PokeMiners/pogo_assets/refs/heads/master/Images/Pokemon%20-%20256x256/Addressable%20Assets/pm555.fGALARIAN_STANDARD.s.icon.png,Darumaka_Galar,(Galarian Standard Mode),RegionalForm=Form,
789,,pm555.fGALARIAN,https://raw.githubusercontent.com/PokeMiners/pogo_assets/refs/heads/master/Images/Pokemon%20-%20256x256/Addressable%20Assets/pm555.fGALARIAN_ZEN.s.icon.png,Darumaka_Galar,(Galarian Zen Mode),RegionalForm=Form,
790,2020/06/24,pm556,,Maractus,,,
791,2020/06/25,pm557,,Dwebble,,,
792,2020/06/25,pm558,,Dwebble,,,
793,2020/06/26,pm559,,Scraggy,,,
794,2020/06/27,pm560,,Scraggy,,,
795,2020/06/28,pm561,,Sigilyph,,,
796,2019/10/17,pm562,,Yamask,,,
797,2022/10/20,pm562.fGALARIAN,,Yamask_Galar,(Galarian),RegionalForm,
798,2019/10/17,pm563,,Yamask,,,
799,2022/06/07,pm564,,Tirtouga,,,
800,2022/06/07,pm565,,Tirtouga,,,
801,2022/06/07,pm566,,Archen,,,
802,2022/06/07,pm567,,Archen,,,
803,2021/04/20,pm568,,Trubbish,,,
804,2021/04/20,pm569,,Trubbish,,,
805,2025/10/30,pm569.fGIGANTAMAX,,Trubbish,(G-Max),,
806,2020/01/31,pm570,,Zorua,,,
807,2020/02/01,pm571,,Zorua,,,
808,,pm570.fHISUIAN,,Zorua_Hisui,(Hisuian),RegionalForm,
809,,pm571.fHISUIAN,,Zorua_Hisui,(Hisuian),RegionalForm,
810,2020/02/02,pm572,,Minccino,,,
811,2020/02/02,pm573,,Minccino,,,
812,2020/02/03,pm574,,Gothita,,,
813,2020/02/04,pm575,,Gothita,,,
814,2020/02/05,pm576,,Gothita,,,
815,2020/02/06,pm577,,Solosis,,,
816,2020/02/07,pm578,,Solosis,,,
817,2020/02/08,pm579,,Solosis,,,
818,2020/02/09,pm580,,Ducklett,,,
819,2020/02/10,pm581,,Ducklett,,,
820,2020/02/11,pm582,,Vanillite,,,
821,2020/02/12,pm583,,Vanillite,,,
822,2020/02/13,pm584,,Vanillite,,,
823,2020/02/14,pm585.fSPRING,,Deerling,(Spring),Form,
824,2020/02/14,pm585.fSUMMER,,Deerling,(Summer),Form,
825,2020/02/14,pm585.fAUTUMN,,Deerling,(Autumn),Form,
826,2020/02/14,pm585.fWINTER,,Deerling,(Winter),Form,
827,2020/02/15,pm586.fSPRING,,Deerling,(Spring),Form,
828,2020/02/15,pm586.fSUMMER,,Deerling,(Summer),Form,
829,2020/02/15,pm586.fAUTUMN,,Deerling,(Autumn),Form,
830,2020/02/15,pm586.fWINTER,,Deerling,(Winter),Form,
831,2020/02/16,pm587,,Emolga,,,
832,2022/06/04,pm588,,Karrablast,,,
833,2022/06/04,pm589,,Karrablast,,,
834,2022/07/01,pm590,,Foongus,,,
835,2022/07/01,pm591,,Foongus,,,
836,2023/02/08,pm592,,Frillish,(Male),Gender=♂,
837,2023/02/08,pm592.fFEMALE,,Frillish,(Female),Gender=♀,
838,2023/02/08,pm593,,Frillish,(Male),Gender=♂,
839,2023/02/08,pm593.fFEMALE,,Frillish,(Female),Gender=♀,
840,2021/02/14,pm594,,Alomomola,,,
841,2023/08/27,pm595,,Joltik,,,
842,2023/08/27,pm596,,Joltik,,,
843,2020/11/07,pm597,,Ferroseed,,,
844,2020/11/07,pm598,,Ferroseed,,,
845,2019/09/16,pm599,,Klink,,,
846,2019/09/16,pm600,,Klink,,,
847,2019/09/16,pm601,,Klink,,,
848,2019/09/17,pm602,,Tynamo,,,
849,2019/09/18,pm603,,Tynamo,,,
850,2019/09/19,pm604,,Tynamo,,,
851,2022/09/06,pm605,,Elgyem,,,
852,2022/09/06,pm606,,Elgyem,,,
853,2022/10/15,pm607,,Litwick,,,
854,2022/10/15,pm608,,Litwick,,,
855,2022/10/15,pm609,,Litwick,,,
856,2022/06/04,pm610,,Axew,,,
857,2022/06/04,pm611,,Axew,,,
858,2022/06/04,pm612,,Axew,,,
859,2020/12/18,pm613,,Cubchoo,,,
860,2020/12/18,pm614,,Cubchoo,,,
861,2020/12/19,pm615,,Cryogonal,,,
862,2022/06/04,pm616,,Shelmet,,,
863,2022/06/04,pm617,,Shelmet,,,
864,2023/04/23,pm618,,Stunfisk,,,
865,2021/08/20,pm618.fGALARIAN,,Stunfisk_Galar,(Galarian),RegionalForm,
866,2021/08/21,pm619,,Mienfoo,,,
867,2021/08/22,pm620,,Mienfoo,,,
868,2021/12/07,pm621,,Druddigon,,,
869,2023/08/18,pm622,,Golett,,,
870,2023/08/18,pm623,,Golett,,,
871,2022/11/14,pm624,,Pawniard,,,
872,2022/11/14,pm625,,Pawniard,,,
873,2022/11/15,pm626,,Bouffalant,,,
874,2020/12/13,pm627,,Rufflet,,,
875,2020/12/13,pm628,,Rufflet,,,
876,2022/07/31,pm628.fHISUIAN,,Rufflet_Hisui,(Hisuian),RegionalForm,
877,2021/11/09,pm629,,Vullaby,,,
878,2021/11/09,pm630,,Vullaby,,,
879,2020/07/25,pm631,,Heatmor,,,
880,2020/07/25,pm632,,Durant,,,
881,2020/08/01,pm633,,Deino,,,
882,2020/08/01,pm634,,Deino,,,
883,2020/08/01,pm635,,Deino,,,
884,2020/08/02,pm636,,Larvesta,,,
885,2020/08/03,pm637,,Larvesta,,,
886,2020/05/18,pm638,,Cobalion,,,
887,2020/05/19,pm639,,Terrakion,,,
888,2020/05/13,pm640,,Virizion,,,
889,2021/03/06,pm641.fINCARNATE,,Tornadus,(Incarnate),Form,
890,2022/03/14,pm641.fTHERIAN,,Tornadus,(Therian),Form,
891,2021/03/11,pm642.fINCARNATE,,Thundurus,(Incarnate),Form,
892,2022/04/05,pm642.fTHERIAN,,Thundurus,(Therian),Form,
893,2021/12/01,pm643,,Reshiram,,,
894,2021/12/01,pm644,,Zekrom,,,
895,2021/03/01,pm645.fINCARNATE,,Landorus,(Incarnate),Form,
896,2022/04/26,pm645.fTHERIAN,,Landorus,(Therian),Form,
897,2021/12/16,pm646.fNORMAL,,Kyurem,,Form,
898,2021/12/16,pm646.fWHITE,,Kyurem,(White),Form,
899,2021/12/16,pm646.fBLACK,,Kyurem,(Black),Form,
900,,pm647.fORDINARY,,Keldeo,(Ordinary),Form,
901,,pm647.fRESOLUTE,,Keldeo,(Resolute),Form,
902,2020/08/13,pm648.fARIA,,Meloetta,(Aria),Form,
903,,pm648.fPIROUETTE,,Meloetta,(Pirouette),Form,
904,2020/08/15,pm649.fNORMAL,,Genesect,(Normal),Form,
905,2023/05/02,pm649.fSHOCK,,Genesect,(Shock Drive),Form,
906,2023/09/16,pm649.fBURN,,Genesect,(Burn Drive),Form,
